target,file,file_name,rows,archives,instruments,bjd_min,bjd_max,rv_min,rv_max,has_activity,relative_file
UID_0096100_RVC_001.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0096100_RVC_001.tbl_RV.csv,UID_0096100_RVC_001.tbl_RV.csv,229,NASA_RADIAL,UID_0096100_RVC_001,2453237.75286,2456847.87141,-6.69489726375,4.65386042679,False,data/UID_0096100_RVC_001.tbl_RV.csv
HD 25015,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_25015_RV.csv,HD_25015_RV.csv,229,DACE_PUBLIC,DACE,2452187.83154772,2458543.55186909,28463.4681481511,28662.2195686869,False,data/HD_25015_RV.csv
HD 104067,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_104067_RV.csv,HD_104067_RV.csv,229,DACE_PUBLIC,DACE,2448266.862,2458834.16406,-20.88,15430.0,False,data/HD_104067_RV.csv
HD 21693,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_21693_RV.csv,HD_21693_RV.csv,226,DACE_PUBLIC,DACE,2447194.564,2458001.84586111,39010.0,39790.0,False,data/HD_21693_RV.csv
HIP 116454,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HIP_116454_RV.csv,HIP_116454_RV.csv,225,DACE_PUBLIC,DACE,2456180.51921,2459212.35952485,-3310.12065230491,-3131.9,False,data/HIP_116454_RV.csv
UID_0096441_RVC_003.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0096441_RVC_003.tbl_RV.csv,UID_0096441_RVC_003.tbl_RV.csv,223,NASA_RADIAL,UID_0096441_RVC_003,2452111.84961,2455846.67537,-181.0599976,89.1699982,False,data/UID_0096441_RVC_003.tbl_RV.csv
GJ 832,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_832_RV.csv,GJ_832_RV.csv,221,DACE_PUBLIC,DACE,2451034.0873,2458849.54224259,-17.7,13314.0401698329,False,data/GJ_832_RV.csv
HD 213885,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_213885_RV.csv,HD_213885_RV.csv,220,DACE_PUBLIC,DACE,2448093.867,2459470.78127956,35550.0,36143.87042125979,False,data/HD_213885_RV.csv
HD 166724,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_166724_RV.csv,HD_166724_RV.csv,219,DACE_PUBLIC,DACE,2450265.778,2460218.5460885,-56310.3420113715,-17542.9043945948,False,data/HD_166724_RV.csv
GJ 180,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_180_RV.csv,GJ_180_RV.csv,219,DACE_PUBLIC,DACE,2451580.79611,2458788.10538,-14298.8665473356,12.92,False,data/GJ_180_RV.csv
GJ 179,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_179_RV.csv,GJ_179_RV.csv,218,DACE_PUBLIC,DACE,2451580.83131,2458852.84544,-8648.49427296743,57.5,False,data/GJ_179_RV.csv
HD 89307,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_89307_RV.csv,HD_89307_RV.csv,218,DACE_PUBLIC,DACE,2450796.7027,2457769.62132,-51.71,28199.0,False,data/HD_89307_RV.csv
GJ 3293,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_3293_RV.csv,GJ_3293_RV.csv,217,DACE_PUBLIC,DACE,2454805.68487732,2457117.50424527,13211.2504528516,13257.0762780396,False,data/GJ_3293_RV.csv
GJ 3470,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_3470_RV.csv,GJ_3470_RV.csv,217,DACE_PUBLIC,DACE,2454807.81199,2459920.83126598,-1934.73,26877.1715687309,False,data/GJ_3470_RV.csv
HD 121504,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_121504_RV.csv,HD_121504_RV.csv,216,DACE_PUBLIC,DACE,2447220.909,2458730.48292437,19130.0,19810.0,False,data/HD_121504_RV.csv
HD 156279,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_156279_RV.csv,HD_156279_RV.csv,216,DACE_PUBLIC,DACE,2452832.92834,2458645.7964,-21292.2,550.24,False,data/HD_156279_RV.csv
GJ 3138,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/GJ_3138_RV.csv,GJ_3138_RV.csv,216,DACE_PUBLIC,DACE,2452945.70534713,2458753.81945205,13056.6981597995,13086.3663892031,False,data/GJ_3138_RV.csv
